source_pair_id,char_id,target_char,candidate_instance_id,reference_instance_id,human_mean,parsed_asds_score,direct_ink_asds_score,direct_minus_parsed,direct_polar_js_similarity,direct_grid_js_similarity,direct_projection_js_similarity,direct_selected_scale,direct_selected_rotation_degrees,direct_selected_translation_x,direct_selected_translation_y,direct_alignment_ink_iou
NAT-20-774d0bea16d3,20,卢,20/20,20/3,3.0,75.26241865870988,74.1126000238704,-1.1498186348394768,0.7159183186245656,0.909737137185002,0.6901507108250524,1.2,0.0,-22.0,44.0,0.25360250135943446
NAT-20-c1e7617c03a0,20,卢,20/9,20/5,2.0,70.2231579785196,69.82472860519786,-0.3984293733217328,0.6661229288598418,0.8505335811690126,0.6958746578315831,1.2,-3.0,-12.0,39.0,0.25634162904965446
NAT-20-d4d277622f51,20,卢,20/8,20/7,4.333333333333333,84.86952422521537,84.6342884049128,-0.23523582030257728,0.8280506925431008,0.9613676797253519,0.8166816487343642,1.05,0.0,16.0,-1.0,0.5804832277738682
NAT-21-1f157d5abba1,21,文,21/5,21/19,5.0,77.51218851740013,76.57484648891588,-0.9373420284842524,0.7454767646880174,0.8469522049780824,0.779145992405562,1.2,1.0,-3.0,42.0,0.444547936405974
NAT-21-665090e2976f,21,文,21/11,21/16,1.6666666666666667,46.974648089468964,46.01029256813759,-0.9643555213313775,0.4352640475754528,0.4775177605582376,0.558602855298822,0.8,3.0,12.0,23.0,0.10414852165940866
NAT-21-78ec72138b80,21,文,21/3,21/16,2.0,61.758885709440705,61.93872311867561,0.17983740923490643,0.5631178208278753,0.7380560900613187,0.7633089539869704,0.8,-3.0,20.0,-32.0,0.19024919582994226
NAT-21-e9f9c3d41f60,21,文,21/13,21/9,2.0,61.504550380551656,60.87227437537964,-0.6322760051720167,0.5470626656926425,0.7388083690612942,0.7663841493983501,0.8,2.0,46.0,-48.0,0.28765317201799284
NAT-22-5792ff003e6c,22,仃,22/11,22/3,2.3333333333333335,56.61460685190845,57.24698466499125,0.6323778130828046,0.6304157234975376,0.46091529378413254,0.4136103075601089,0.8,-3.0,-15.0,21.0,0.030442324371205552
NAT-22-7ae0492b5e7c,22,仃,22/8,22/7,3.0,70.88110641578479,70.76714262880135,-0.11396378698343312,0.676863242063747,0.8487811486195278,0.7103332303364098,0.8500000000000001,-3.0,14.0,-15.0,0.3906460708593846
NAT-22-f819c56516d2,22,仃,22/18,22/15,3.0,70.07999510812444,70.29986083002248,0.21986572189804576,0.676919020168317,0.8216484492424583,0.706053511973561,0.8500000000000001,-3.0,30.0,24.0,0.24962518740629686
